レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240101OMR01,8,0,0,3.0,2.0,48.0,3,0,-0.6943875780172974,-1.513593108806129,1.6903546165793946,-0.4608649402907494,-0.2767858043477273
20240101OMR02,8,1,1,3.0,2.0,48.0,2,0,-1.582378075833991,-1.863171193696286,-0.1320959304831598,0.7416273848170611,0.5015698625755342
20240101OMR03,8,2,0,1.0,1.0,48.0,3,1,-0.4019310959330221,-1.0639582564882426,1.3555813586047651,0.6374909911042712,-0.7282190812544174
20240101OMR04,8,3,7,0.0,1.0,48.0,2,0,-0.2327575395873634,-0.7063687350669028,-1.111818512329592,-1.1907550285525537,-0.2393109947759708
20240101OMR05,8,4,8,1.0,1.0,48.0,2,0,-0.1340248437732102,-0.1840861090638388,0.6173788169915838,0.1636924953683781,-1.8703106735256347
20240101OMR06,8,5,8,2.0,1.0,48.0,0,1,1.5927454012433997,1.350305963358662,-0.9261276609896604,-0.703422516125239,0.0836827408755853
20240101OMR07,8,6,2,1.0,1.0,48.0,1,1,0.9995703597582762,0.7122699140748003,0.5754943529364,1.1023063664904058,0.0
20240101OMR08,8,7,8,2.0,1.0,48.0,2,0,-0.1999467434439222,-0.6251231990033478,-0.5747151626856735,0.1503895108166759,0.3470926951640037
20240101OMR09,8,8,7,0.0,1.0,48.0,3,0,-1.3229843865278788,-0.162379434671656,-0.457030206654506,-0.2455986491525157,1.253924656438789
20240101OMR10,8,9,8,1.0,1.0,48.0,1,0,-0.6771033710165124,-0.1175803347078866,-0.2333741722533308,0.8173327975604674,-1.9290002606945152e-14
20240101OMR11,8,10,2,1.0,1.0,48.0,2,1,-1.0750899190444372,0.1860030042479326,-1.682433083769194,-1.362284900378845,0.4541702621954925
20240101OMR12,8,11,8,1.0,1.0,48.0,1,1,0.8560643215405588,0.5423830527975047,1.1034418723701065,-0.2965293953017001,0.5536102382055446
20240101ASY01,20,0,8,3.0,3.0,50.0,2,0,-0.1454624913006428,0.0530110322885814,0.3496603749533184,-1.8507042465639,0.1253924656438821
20240101ASY02,20,1,2,2.0,2.0,50.0,0,1,1.2406229080021718,1.2916428095946588,-0.8800583057942037,-0.3422297851812316,-1.412009019236408
20240101ASY03,20,2,2,2.0,2.0,50.0,2,0,-0.9619351135110054,-0.8502240257582468,0.3692760268803741,-1.0447325134128254,-1.199747448171443
20240101ASY04,20,3,2,3.0,3.0,50.0,2,1,-0.6625049557027416,-1.032338484332418,-0.5745546611011509,1.3518035274074198,-0.3157230126766834
20240101ASY05,20,4,2,3.0,3.0,50.0,2,0,-0.939352231343026,-0.6572073586955057,1.4897639722064038,1.2904284157412798,1.2230532340214977
20240101ASY06,20,5,1,2.0,2.0,50.0,1,1,0.2617045741870576,0.1031269696331322,-1.0949455304766509,-0.1479494090588959,1.1175059915592855
